PermitType,Code,Year,Total
New Building,NB,2008,25235
New Building,NB,2009,19292
New Building,NB,2010,15565
New Building,NB,2011,13541
New Building,NB,2012,13460
New Building,NB,2013,15008
New Building,NB,2014,17248
New Building,NB,2015,19951
New Building,NB,2016,19963
New Building,NB,2017,21007
New Building,NB,2018,19209
New Building,NB,2019,18310
New Building,NB,2020,14138
New Building,NB,2021,1721
Demolition,DM,2008,4772
Demolition,DM,2009,2525
Demolition,DM,2010,1906
Demolition,DM,2011,2088
Demolition,DM,2012,2243
Demolition,DM,2013,2849
Demolition,DM,2014,3385
Demolition,DM,2015,3913
Demolition,DM,2016,4233
Demolition,DM,2017,4074
Demolition,DM,2018,2583
Demolition,DM,2019,2364
Demolition,DM,2020,1683
Demolition,DM,2021,169
Alteration,Alt-1,2008,15360
Alteration,Alt-1,2009,13706
Alteration,Alt-1,2010,13139
Alteration,Alt-1,2011,13353
Alteration,Alt-1,2012,13512
Alteration,Alt-1,2013,13684
Alteration,Alt-1,2014,14588
Alteration,Alt-1,2015,15066
Alteration,Alt-1,2016,17018
Alteration,Alt-1,2017,18786
Alteration,Alt-1,2018,17337
Alteration,Alt-1,2019,16941
Alteration,Alt-1,2020,11623
Alteration,Alt-1,2021,1482
